movieId,title,avg_sim_rating,votes
3266,Man Bites Dog (C'est arrivé près de chez vous),5.0,4
85,Angels and Insects,5.0,3
6442,Belle époque,5.0,2
419,"Beverly Hillbillies, The",5.0,2
6818,Come and See (Idi i smotri),5.0,2
2925,"Conformist, The (Conformista, Il)",5.0,2
66371,Departures (Okuribito),5.0,2
78836,Enter the Void,5.0,2
8869,First Daughter,5.0,2
2151,"Gods Must Be Crazy II, The",5.0,2
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers),5.0,2
99,Heidi Fleiss: Hollywood Madam,5.0,2
121231,It Follows,5.0,2
3473,Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000),5.0,2
174,Jury Duty,5.0,2
1151,Lesson Faust,5.0,2
6184,"Man Who Fell to Earth, The",5.0,2
947,My Man Godfrey,5.0,2
5466,My Wife is an Actress (Ma Femme est une Actrice),5.0,2
7018,Presumed Innocent,5.0,2
299,Priest,5.0,2
5666,"Rules of Attraction, The",5.0,2
4956,"Stunt Man, The",5.0,2
96861,Taken 2,5.0,2
128520,The Wedding Ringer,5.0,2
87529,Your Highness,5.0,2
5899,Zulu,5.0,2
2136,"Nutty Professor, The",5.0,1
67695,Observe and Report,5.0,1
174551,Obsession,5.0,1
96430,"Odd Life of Timothy Green, The",5.0,1
109241,On the Other Side of the Tracks (De l'autre côté du périph),5.0,1
2824,On the Ropes,5.0,1
3606,On the Town,5.0,1
175387,On the Trail of the Bremen Town Musicians,5.0,1
107771,Only Lovers Left Alive,5.0,1
139640,Ooops! Noah is Gone...,5.0,1
6192,Open Hearts (Elsker dig for evigt),5.0,1
4794,Opera,5.0,1
127052,Operation 'Y' & Other Shurik's Adventures,5.0,1
142020,Oscar,5.0,1
102033,Pain & Gain,5.0,1
33138,Palindromes,5.0,1
4055,Panic,5.0,1
88448,Paper Birds (Pájaros de papel),5.0,1
109687,Particle Fever,5.0,1
7017,Passenger 57,5.0,1
26350,"Passenger, The (Professione: reporter)",5.0,1
45503,Peaceful Warrior,5.0,1
2488,Peeping Tom,5.0,1
117851,Penguins of Madagascar,5.0,1
4634,Penn & Teller Get Killed,5.0,1
1123,"Perfect Candidate, A",5.0,1
101765,"Perfect Plan, A (Plan parfait, Un)",5.0,1
3837,Phantasm II,5.0,1
4789,Phantom of the Paradise,5.0,1
133419,Pitch Perfect 2,5.0,1
120138,PK,5.0,1
2380,Police Academy 3: Back in Training,5.0,1
2381,Police Academy 4: Citizens on Patrol,5.0,1
2382,Police Academy 5: Assignment: Miami Beach,5.0,1
26547,Police Story (Ging chaat goo si),5.0,1
2007,Polish Wedding,5.0,1
1014,Pollyanna,5.0,1
3688,Porky's,5.0,1
95311,Presto,5.0,1
7579,Pride and Prejudice,5.0,1
172637,Priklyucheniya Kapitana Vrungelya,5.0,1
42946,Project A ('A' gai waak),5.0,1
73569,Project A 2 ('A' gai wak juk jap),5.0,1
112818,"Purge: Anarchy, The",5.0,1
134109,Radio Day,5.0,1
5328,Rain,5.0,1
82242,Rare Exports: A Christmas Tale (Rare Exports),5.0,1
305,Ready to Wear (Pret-A-Porter),5.0,1
61026,Red Cliff (Chi bi),5.0,1
68486,Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia),5.0,1
1686,Red Corner,5.0,1
2972,Red Sorghum (Hong gao liang),5.0,1
44889,Reefer Madness: The Movie Musical,5.0,1
4180,Reform School Girls,5.0,1
138835,Return to Treasure Island,5.0,1
6122,Richard Pryor Live on the Sunset Strip,5.0,1
374,Richie Rich,5.0,1
86298,Rio,5.0,1
7096,Rivers and Tides,5.0,1
5522,Rollerball,5.0,1
74754,"Room, The",5.0,1
96608,Runaway Brain,5.0,1
190,Safe,5.0,1
8235,Safety Last!,5.0,1
5329,"Salton Sea, The",5.0,1
96606,Samsara,5.0,1
3073,"Sandpiper, The",5.0,1
5537,Satin Rouge,5.0,1
33649,Saving Face,5.0,1
131098,Saving Santa,5.0,1
191,"Scarlet Letter, The",5.0,1
6888,Scary Movie 3,5.0,1
136359,Scooby-Doo Goes Hollywood,5.0,1
118894,Scooby-Doo! Abracadabra-Doo,5.0,1
136353,Scooby-Doo! and the Loch Ness Monster,5.0,1
136341,Scooby-Doo! and the Samurai Sword,5.0,1
85295,Scooby-Doo! Curse of the Lake Monster,5.0,1
5137,Scratch,5.0,1
5241,Seems Like Old Times,5.0,1
998,Set It Off,5.0,1
132333,Seve,5.0,1
44193,She's the Man,5.0,1
147330,Sherlock Holmes and Dr. Watson: Acquaintance,5.0,1
5244,Shogun Assassin,5.0,1
3787,Shower (Xizao),5.0,1
